iter	RMSE
0	15.01302759
1	14.6154325
2	14.22586093
3	13.84850225
4	13.4818663
5	13.16574808
6	12.84654315
7	12.56686262
8	12.2715554
9	11.97603864
10	11.68759977
11	11.42730607
12	11.16540624
13	10.92145031
14	10.67407063
15	10.47695592
16	10.26040342
17	10.04857245
18	9.838851101
19	9.650773358
20	9.473276636
21	9.292638942
22	9.122343142
23	8.945331646
24	8.787875876
25	8.639460254
26	8.493492746
27	8.369863342
28	8.240409763
29	8.120032429
30	8.011270498
31	7.898182762
32	7.794470057
33	7.695763424
34	7.591240158
35	7.499273295
36	7.403052034
37	7.316005257
38	7.227850439
39	7.154381144
40	7.078720696
41	7.009741423
42	6.938762518
43	6.882414338
44	6.817242336
45	6.762992772
46	6.695849177
47	6.642811025
48	6.584542036
49	6.53350099
50	6.482578844
51	6.438760929
52	6.393817478
53	6.347387999
54	6.30462821
55	6.269722423
56	6.224959816
57	6.189976177
58	6.153172739
59	6.123407043
60	6.089398596
61	6.061979293
62	6.036059941
63	6.004059161
64	5.974445302
65	5.951512168
66	5.923758312
67	5.896888876
68	5.879669113
69	5.856638489
70	5.834093284
71	5.815800702
72	5.798550215
73	5.779820612
74	5.761300587
75	5.739444196
76	5.723237232
77	5.704715993
78	5.687867076
79	5.674492959
80	5.664930975
81	5.648371356
82	5.631481507
83	5.617143355
84	5.604283874
85	5.587982517
86	5.574714036
87	5.563566256
88	5.549567021
89	5.534023541
90	5.524252043
91	5.514750425
92	5.503883001
93	5.493486478
94	5.481098689
95	5.475143325
96	5.464788496
97	5.455479625
98	5.445852854
99	5.432570498
100	5.424786351
101	5.415783654
102	5.404498151
103	5.393757792
104	5.383020896
105	5.374383428
106	5.363562987
107	5.353697398
108	5.347501008
109	5.339623468
110	5.33578324
111	5.328023179
112	5.322703407
113	5.318959721
114	5.315465522
115	5.309368539
116	5.303853491
117	5.299449475
118	5.296191412
119	5.286194357
120	5.278569818
121	5.273755368
122	5.268716998
123	5.262866922
124	5.259830421
125	5.252186654
126	5.246519417
127	5.24231113
128	5.235656517
129	5.22844893
130	5.220001902
131	5.213808396
132	5.208613152
133	5.204607458
134	5.20190849
135	5.198878804
136	5.194096086
137	5.187907169
138	5.18032603
139	5.172996441
140	5.168369626
141	5.164104066
142	5.156818271
143	5.153042626
144	5.150100386
145	5.146647083
146	5.142101526
147	5.134671886
148	5.129542301
149	5.122278001
150	5.11738093
151	5.112268468
152	5.109406802
153	5.10607163
154	5.100332016
155	5.095694614
156	5.090205949
157	5.085660352
158	5.079700122
159	5.076188922
160	5.071764342
161	5.064798023
162	5.060349361
163	5.056743679
164	5.054464491
165	5.050308847
166	5.045550925
167	5.037964369
168	5.034431922
169	5.031462002
170	5.02668246
171	5.020871134
172	5.017893393
173	5.016919928
174	5.013514568
175	5.010969863
176	5.007441211
177	5.001261598
178	4.995237162
179	4.986318261
180	4.982251922
181	4.977363698
182	4.970568264
183	4.965370492
184	4.960771777
185	4.957811145
186	4.955163551
187	4.951879959
188	4.948172019
189	4.944734673
190	4.941462275
191	4.938653955
192	4.93463264
193	4.928680249
194	4.925269281
195	4.921001835
196	4.920243437
197	4.915596187
198	4.912354394
199	4.90992398
200	4.90641599
201	4.901592121
202	4.896914042
203	4.895088397
204	4.891506326
205	4.889667267
206	4.886115262
207	4.883457334
208	4.880897088
209	4.876316778
210	4.873576953
211	4.870592209
212	4.865875384
213	4.862469395
214	4.858830963
215	4.856729034
216	4.855187206
217	4.848076275
218	4.844217101
219	4.840808624
220	4.835530753
221	4.835252323
222	4.829349657
223	4.82838344
224	4.825022355
225	4.821124862
226	4.817872852
227	4.811269295
228	4.80711146
229	4.806488449
230	4.805645834
231	4.800405471
232	4.796646006
233	4.794518507
234	4.79070318
235	4.784745688
236	4.783937142
237	4.782995916
238	4.781558989
239	4.778224302
240	4.776768084
241	4.773376167
242	4.770951226
243	4.766584183
244	4.766245431
245	4.763907351
246	4.757795581
247	4.756868471
248	4.756017842
249	4.752755682
250	4.752451576
251	4.750864426
252	4.750553647
253	4.746715634
254	4.742487664
255	4.740699822
256	4.740065866
257	4.739764636
258	4.739468922
259	4.739194542
260	4.736811091
261	4.729164178
262	4.72360855
263	4.719465793
264	4.714875033
265	4.71180408
266	4.708599691
267	4.703668342
268	4.70254777
269	4.701881963
270	4.696199733
271	4.69593823
272	4.690990593
273	4.687308201
274	4.683631851
275	4.680123224
276	4.674900203
277	4.670466345
278	4.666800782
279	4.66353287
280	4.658346682
281	4.654718232
282	4.649920834
283	4.646713375
284	4.643877943
285	4.636671859
286	4.63156307
287	4.630172936
288	4.623471518
289	4.617066948
290	4.612692497
291	4.611276289
292	4.607111898
293	4.604462583
294	4.600486407
295	4.597363773
296	4.592158641
297	4.591764634
298	4.590410606
299	4.587764009
300	4.582598593
301	4.576846486
302	4.57660753
303	4.573012053
304	4.570203943
305	4.563704586
306	4.561674704
307	4.556190702
308	4.55397496
309	4.548330146
310	4.544688917
311	4.539888413
312	4.538901168
313	4.533185035
314	4.532830925
315	4.529892165
316	4.526730607
317	4.525057324
318	4.522558299
319	4.519401804
320	4.515814399
321	4.512132126
322	4.508254777
323	4.508031476
324	4.506458505
325	4.504248252
326	4.502914997
327	4.498557775
328	4.496096052
329	4.491816628
330	4.490062477
331	4.48708332
332	4.480586548
333	4.475965122
334	4.47078427
335	4.467421841
336	4.461909343
337	4.456790105
338	4.451879437
339	4.449291563
340	4.447793428
341	4.44368916
342	4.439818877
343	4.436473358
344	4.433072119
345	4.428201516
346	4.426075321
347	4.424892665
348	4.419515298
349	4.418480359
350	4.413789923
351	4.409731811
352	4.405798912
353	4.403797549
354	4.399405123
355	4.395277463
356	4.393719633
357	4.389128641
358	4.385262912
359	4.381297402
360	4.37874203
361	4.375262023
362	4.373495863
363	4.373298035
364	4.373081469
365	4.368856908
366	4.368649008
367	4.364545245
368	4.360836322
369	4.359451067
